MPG,Acceleration,Cylinders,Displacement,Horsepower,Manufacturer,Year,Origin,Weight
18,12,8,307,130,chevrolet,70,USA,3504
15,11.5,8,350,165,buick,70,USA,3693
18,11,8,318,150,plymouth,70,USA,3436
16,12,8,304,150,amc,70,USA,3433
17,10.5,8,302,140,ford,70,USA,3449
15,10,8,429,198,ford,70,USA,4341
14,9,8,454,220,chevrolet,70,USA,4354
14,8.5,8,440,215,plymouth,70,USA,4312
14,10,8,455,225,pontiac,70,USA,4425
15,8.5,8,390,190,amc,70,USA,3850
,17.5,4,133,115,citroen,70,France,3090
,11.5,8,350,165,chevrolet,70,USA,4142
,11,8,351,153,ford,70,USA,4034
,10.5,8,383,175,plymouth,70,USA,4166
,11,8,360,175,amc,70,USA,3850
15,10,8,383,170,dodge,70,USA,3563
14,8,8,340,160,plymouth,70,USA,3609
,8,8,302,140,ford,70,USA,3353
15,9.5,8,400,150,chevrolet,70,USA,3761
14,10,8,455,225,buick,70,USA,3086
24,15,4,113,95,toyota,70,Japan,2372
22,15.5,6,198,95,plymouth,70,USA,2833
18,15.5,6,199,97,amc,70,USA,2774
21,16,6,200,85,ford,70,USA,2587
27,14.5,4,97,88,datsun,70,Japan,2130
26,20.5,4,97,46,volkswagen,70,Germany,1835
25,17.5,4,110,87,peugeot,70,France,2672
24,14.5,4,107,90,audi,70,Germany,2430
25,17.5,4,104,95,saab,70,Sweden,2375
26,12.5,4,121,113,bmw,70,Germany,2234
21,15,6,199,90,amc,70,USA,2648
10,14,8,360,215,ford,70,USA,4615
10,15,8,307,200,chevrolet,70,USA,4376
11,13.5,8,318,210,dodge,70,USA,4382
9,18.5,8,304,193,ih,70,USA,4732
27,14.5,4,97,88,datsun,71,Japan,2130
28,15.5,4,140,90,chevrolet,71,USA,2264
25,14,4,113,95,toyota,71,Japan,2228
25,19,4,98,,ford,71,USA,2046
,20,4,97,48,volkswagen,71,Germany,1978
19,13,6,232,100,amc,71,USA,2634
16,15.5,6,225,105,plymouth,71,USA,3439
17,15.5,6,250,100,chevrolet,71,USA,3329
19,15.5,6,250,88,ford,71,USA,3302
18,15.5,6,232,100,amc,71,USA,3288
14,12,8,350,165,chevrolet,71,USA,4209
14,11.5,8,400,175,pontiac,71,USA,4464
14,13.5,8,351,153,ford,71,USA,4154
14,13,8,318,150,plymouth,71,USA,4096
12,11.5,8,383,180,dodge,71,USA,4955
13,12,8,400,170,ford,71,USA,4746
13,12,8,400,175,pontiac,71,USA,5140
18,13.5,6,258,110,amc,71,USA,2962
22,19,4,140,72,chevrolet,71,USA,2408
19,15,6,250,100,pontiac,71,USA,3282
18,14.5,6,250,88,ford,71,USA,3139
23,14,4,122,86,mercury,71,USA,2220
28,14,4,116,90,opel,71,Germany,2123
30,19.5,4,79,70,peugeot,71,France,2074
30,14.5,4,88,76,fiat,71,Italy,2065
31,19,4,71,65,toyota,71,Japan,1773
35,18,4,72,69,datsun,71,Japan,1613
27,19,4,97,60,volkswagen,71,Germany,1834
26,20.5,4,91,70,plymouth,71,USA,1955
24,15.5,4,113,95,toyota,72,Japan,2278
25,17,4,97.5,80,dodge,72,USA,2126
23,23.5,4,97,54,volkswagen,72,Germany,2254
20,19.5,4,140,90,chevrolet,72,USA,2408
21,16.5,4,122,86,ford,72,USA,2226
13,12,8,350,165,chevrolet,72,USA,4274
14,12,8,400,175,pontiac,72,USA,4385
15,13.5,8,318,150,plymouth,72,USA,4135
14,13,8,351,153,ford,72,USA,4129
17,11.5,8,304,150,amc,72,USA,3672
11,11,8,429,208,mercury,72,USA,4633
13,13.5,8,350,155,buick,72,USA,4502
12,13.5,8,350,160,oldsmobile,72,USA,4456
13,12.5,8,400,190,chrysler,72,USA,4422
19,13.5,3,70,97,mazda,72,Japan,2330
15,12.5,8,304,150,amc,72,USA,3892
13,14,8,307,130,chevrolet,72,USA,4098
13,16,8,302,140,ford,72,USA,4294
14,14,8,318,150,plymouth,72,USA,4077
18,14.5,4,121,112,volvo,72,Sweden,2933
22,18,4,121,76,volkswagen,72,Germany,2511
21,19.5,4,120,87,peugeot,72,France,2979
26,18,4,96,69,renault,72,France,2189
22,16,4,122,86,ford,72,USA,2395
28,17,4,97,92,datsun,72,Japan,2288
23,14.5,4,120,97,toyota,72,Japan,2506
28,15,4,98,80,dodge,72,USA,2164
27,16.5,4,97,88,toyota,72,Japan,2100
13,13,8,350,175,buick,73,USA,4100
14,11.5,8,304,150,amc,73,USA,3672
13,13,8,350,145,chevrolet,73,USA,3988
14,14.5,8,302,137,ford,73,USA,4042
15,12.5,8,318,150,dodge,73,USA,3777
12,11.5,8,429,198,mercury,73,USA,4952
13,12,8,400,150,chevrolet,73,USA,4464
13,13,8,351,158,ford,73,USA,4363
14,14.5,8,318,150,plymouth,73,USA,4237
13,11,8,440,215,chrysler,73,USA,4735
12,11,8,455,225,buick,73,USA,4951
13,11,8,360,175,amc,73,USA,3821
18,16.5,6,225,105,plymouth,73,USA,3121
16,18,6,250,100,chevrolet,73,USA,3278
18,16,6,232,100,amc,73,USA,2945
18,16.5,6,250,88,ford,73,USA,3021
23,16,6,198,95,plymouth,73,USA,2904
26,21,4,97,46,volkswagen,73,Germany,1950
11,14,8,400,150,chevrolet,73,USA,4997
12,12.5,8,400,167,ford,73,USA,4906
